No.,Player,FullName,FirstName,LastName,Pos,Age,Ht,Wt,S/C,Exp,Birth Date,Summary,Team
2,Al Arbour\arboual01,Al Arbour,Al,Arbour,D,28,Jun-00,180,L/-,5,November 1 1932,3 G 2 A 5 P,1
20,Earl Balfour\balfoea01,Earl Balfour,Earl,Balfour,LW,28,1-Jun,180,L/-,6,January 4 1933,3 G 3 A 6 P,1
8,Murray Balfour\balfomu01,Murray Balfour,Murray,Balfour,RW,24,9-May,178,R/-,3,August 24 1936,21 G 27 A 48 P,1
5,Jack Evans\evansja01,Jack Evans,Jack,Evans,D,32,Jun-00,185,L/-,11,April 21 1928,0 G 8 A 8 P,1
6,Reggie Fleming\flemire01,Reggie Fleming,Reggie,Fleming,W/D,24,8-May,170,L/-,1,April 21 1936,4 G 4 A 8 P,1
1,Glenn Hall\hallgl01,Glenn Hall,Glenn,Hall,G,29,11-May,180,-/L,7,October 3 1931,29-24-17 2.51 GAA,1
11,Bill Hay\haybi01,Bill Hay,Bill,Hay,C,25,3-Jun,190,L/-,1,December 9 1935,11 G 48 A 59 P,1
8,Wayne Hicks\hickswa01,Wayne Hicks,Wayne,Hicks,RW,23,11-May,185,R/-,R,April 9 1937,0 G 0 A 0 P,1
16,Bobby Hull\hullbo01,Bobby Hull,Bobby,Hull,LW,22,10-May,195,L/-,3,January 3 1939,31 G 25 A 56 P,1
12,Ed Litzenberger (C)\litzeed01,Ed Litzenberger (C),Ed,Litzenberger (C),RW,28,1-Jun,174,R/-,8,July 15 1932,10 G 22 A 32 P,1
14,Ab McDonald\mcdonab01,Ab McDonald,Ab,McDonald,LW,24,3-Jun,192,L/-,2,February 18 1936,17 G 16 A 33 P,1
21,Stan Mikita\mikitst01,Stan Mikita,Stan,Mikita,RW,20,9-May,169,R/-,2,May 20 1940,19 G 34 A 53 P,1
10,Ron Murphy\murphro01,Ron Murphy,Ron,Murphy,LW,27,11-May,185,L/-,8,April 10 1933,21 G 19 A 40 P,1
15,Eric Nesterenko\nesteer01,Eric Nesterenko,Eric,Nesterenko,C,27,2-Jun,197,R/-,9,October 31 1933,19 G 19 A 38 P,1
3,Pierre Pilote\pilotpi01,Pierre Pilote,Pierre,Pilote,D,29,10-May,178,L/-,5,December 11 1931,6 G 29 A 35 P,1
9,Tod Sloan\sloanto01,Tod Sloan,Tod,Sloan,C,33,10-May,152,R/-,12,November 30 1927,11 G 23 A 34 P,1
19,Dollard St. Laurent\stlaudo01,Dollard St. Laurent,Dollard,St. Laurent,D,31,11-May,205,L/-,10,May 12 1929,2 G 17 A 19 P,1
4,Moose Vasko\vaskomo01,Moose Vasko,Moose,Vasko,D,25,2-Jun,200,L/-,4,December 11 1935,4 G 18 A 22 P,1
17,Kenny Wharram\wharrke01,Kenny Wharram,Kenny,Wharram,RW,27,9-May,160,R/-,5,July 2 1933,16 G 29 A 45 P,1
11,Gary Aldcorn\aldcoga01,Gary Aldcorn,Gary,Aldcorn,LW,25,11-May,170,L/-,4,March 7 1935,2 G 6 A 8 P,2
1,Hank Bassen\basseha01,Hank Bassen,Hank,Bassen,G,28,10-May,180,-/L,2,December 6 1932,13-13-8 2.93 GAA,2
10,Alex Delvecchio\delveal01,Alex Delvecchio,Alex,Delvecchio,C,28,Jun-00,195,L/-,10,December 4 1932,27 G 35 A 62 P,2
16,Edward Diachuk\diached01,Edward Diachuk,Edward,Diachuk,LW,24,1-Jun,185,L/-,R,August 16 1936,0 G 0 A 0 P,2
