Num,FullName,FirstName,LastName,Pos,Ht,Wt,Birth Date,Team
2,Al Arbour,Al,Arbour,D,36678,180,November 1 1932,1
20,Earl Balfour,Earl,Balfour,LW,42522,180,January 4 1933,1
8,Murray Balfour,Murray,Balfour,RW,42499,178,August 24 1936,1
5,Jack Evans,Jack,Evans,D,36678,185,April 21 1928,1
6,Reggie Fleming,Reggie,Fleming,W/D,42498,170,April 21 1936,1
1,Glenn Hall,Glenn,Hall,G,42501,180,October 3 1931,1
11,Bill Hay,Bill,Hay,C,42524,190,December 9 1935,1
8,Wayne Hicks,Wayne,Hicks,RW,42501,185,April 9 1937,1
16,Bobby Hull,Bobby,Hull,LW,42500,195,January 3 1939,1
12,Ed Litzenberger,Ed,Litzenberger,RW,42522,174,July 15 1932,1
14,Ab McDonald,Ab,McDonald,LW,42524,192,February 18 1936,1
21,Stan Mikita,Stan,Mikita,RW,42499,169,May 20 1940,1
10,Ron Murphy,Ron,Murphy,LW,42501,185,April 10 1933,1
15,Eric Nesterenko,Eric,Nesterenko,C,42523,197,October 31 1933,1
3,Pierre Pilote,Pierre,Pilote,D,42500,178,December 11 1931,1
9,Tod Sloan,Tod,Sloan,C,42500,152,November 30 1927,1
19,Dollard St. Laurent,Dollard,St. Laurent,D,42501,205,May 12 1929,1
4,Moose Vasko,Moose,Vasko,D,42523,200,December 11 1935,1
17,Kenny Wharram,Kenny,Wharram,RW,42499,160,July 2 1933,1
11,Gary Aldcorn,Gary,Aldcorn,LW,42501,170,March 7 1935,2
1,Hank Bassen,Hank,Bassen,G,42500,180,December 6 1932,2
10,Alex Delvecchio,Alex,Delvecchio,C,36678,195,December 4 1932,2
16,Edward Diachuk,Edward,Diachuk,LW,42522,185,August 16 1936,2
12,Val Fonteyne,Val,Fonteyne,LW,42500,160,December 2 1933,2
15,Howie Glover,Howie,Glover,RW,42501,180,February 14 1935,2
5,Warren Godfrey,Warren,Godfrey,D,42522,190,March 23 1931,2
2,Pete Goegan,Pete,Goegan,D,42522,195,March 6 1934,2
22,Len Haley,Len,Haley,RW,42496,160,September 15 1931,2
5,Rich Healey,Rich,Healey,D,42500,170,March 12 1938,2
9,Gordie Howe,Gordie,Howe,RW,36678,205,March 31 1928,2
17,Allan Johnson,Allan,Johnson,RW,42501,180,March 30 1935,2
8,Leo Labine,Leo,Labine,RW,42500,170,July 22 1931,2
16,Claude Laforge,Claude,Laforge,LW,42499,172,July 1 1936,2
20,Len Lunde,Len,Lunde,C,42522,194,November 13 1936,2
19,Parker MacDonald,Parker,MacDonald,C,42501,160,June 14 1933,2
16,Bruce MacGregor,Bruce,MacGregor,C,42500,180,April 26 1941,2
21,John McKenzie,John,McKenzie,RW,42499,175,December 12 1937,2
14,Gerry Melnyk,Gerry,Melnyk,C,42500,165,September 16 1934,2
18,Gerry Odrowski,Gerry,Odrowski,D,42500,185,October 4 1938,2
8,Murray Oliver,Murray,Oliver,C,42500,170,November 14 1937,2
3,Marcel Pronovost,Marcel,Pronovost,D,36678,190,June 15 1930,2
4,Marc Reaume,Marc,Reaume,D,42522,185,February 7 1934,2
1,Terry Sawchuk,Terry,Sawchuk,G,42501,195,December 28 1929,2
16,Brian Smith,Brian,Smith,W,36678,180,December 6 1937,2
11,Vic Stasiuk,Vic,Stasiuk,LW,36678,185,May 23 1929,2
7,Norm Ullman,Norm,Ullman,C,42500,175,December 26 1935,2
4,Howie Young,Howie,Young,RW/D,42501,175,August 2 1937,2
4,Bob Armstrong,Bob,Armstrong,D,42522,190,April 7 1931,3
29,Jim Bartlett,Jim,Bartlett,LW,42499,165,May 27 1932,3
20,Leo Boivin,Leo,Boivin,D,42498,183,August 2 1932,3
9,John Bucyk,John,Bucyk,LW,36678,215,May 12 1935,3
10,Charlie Burns,Charlie,Burns,C,42501,170,February 14 1936,3
12,Billy Carter,Billy,Carter,C,42501,155,December 2 1937,3
12,Art Chisholm,Art,Chisholm,C,42499,160,November 11 1934,3
11,Aut Erickson,Aut,Erickson,D,42522,188,January 25 1938,3
14,Fern Flaman,Fern,Flaman,D,42500,190,January 25 1927,3
1,Bruce Gamble,Bruce,Gamble,G,42499,200,May 24 1938,3
23,Jean-Guy Gendron,Jean-Guy,Gendron,LW,42499,165,August 30 1934,3
6,Ted Green,Ted,Green,D,42500,200,March 23 1940,3
6,Bronco Horvath,Bronco,Horvath,C,42501,185,March 12 1930,3
16,Leo Labine,Leo,Labine,RW,42500,170,July 22 1931,3
25,Tom McCarthy,Tom,McCarthy,LW,42522,191,September 15 1934,3
17,Don McKenney,Don,McKenney,C,36678,160,April 30 1934,3
22,Dick Meissner,Dick,Meissner,RW,42501,200,January 6 1940,3
19,Doug Mohns,Doug,Mohns,D,36678,185,December 13 1933,3
22,Willie O'Ree,Willie,O'Ree,LW,42500,175,October 15 1935,3
16,Murray Oliver,Murray,Oliver,C,42500,170,November 14 1937,3
12,Gerry Ouellette,Gerry,Ouellette,RW,42499,170,November 1 1938,3
23,Andre Pronovost,Andre,Pronovost,LW,42500,188,July 9 1936,3
